,word,category,percent
246,bagel,Food and Beverages,0.97
247,spirits,Food and Beverages,0.98
248,fredmeyer,Groceries,0.99
249,donut,Food and Beverages,0.98
250,chinese,Food and Beverages,0.91
251,burgers,Food and Beverages,0.99
252,dollarge,General Merchandise,0.99
253,fil,Food and Beverages,0.96
254,exxon,Automotive,0.99
255,mkt,General Merchandise,0.97
256,vape,General Merchandise,0.93
257,firehouse,Food and Beverages,0.97
258,roadhouse,Food and Beverages,0.98
259,frozen,Food and Beverages,0.99
260,turkey,Automotive,0.95
261,amz,General Merchandise,0.98
262,fredmeye,Groceries,0.99
263,qsr,Food and Beverages,1.0
264,httpsinstacar,Groceries,0.92
265,hotel,Travel,0.95
266,cracker,Food and Beverages,0.99
267,q26,Food and Beverages,0.98
268,italian,Food and Beverages,0.98
269,wishcom,General Merchandise,1.0
270,fanduel,Entertainment,1.0
271,sxmsiriusxmcomacct,Entertainment,1.0
272,ccbillcom,General Merchandise,0.99
273,stnstore,Travel,0.93
274,quik,Automotive,0.95
275,bagels,Food and Beverages,1.0
276,food4less,Groceries,0.99
277,flexshopper,General Merchandise,1.0
278,strs,General Merchandise,0.99
279,viewca,General Merchandise,0.94
280,brewing,Food and Beverages,0.97
281,shake,Food and Beverages,0.97
282,restaur,Food and Beverages,0.97
283,beverage,Food and Beverages,0.94
284,krispy,Food and Beverages,0.99
285,1infiniteloop,General Merchandise,0.99
286,lots,General Merchandise,0.9
287,sqccash,General Merchandise,0.99
288,olocom,Food and Beverages,0.99
289,medical,Healthcare/Medical,0.93
290,soop,Groceries,0.96
291,doordashmcdonalds,Food and Beverages,1.0
292,kreme,Food and Beverages,0.99
293,braums,Food and Beverages,0.97
294,helppay,General Merchandise,0.94
295,itunescomb,Entertainment,0.95
296,cream,Food and Beverages,0.97
297,uberusa,Travel,1.0
298,ppgoogle,General Merchandise,0.95
299,restaurants,Food and Beverages,0.95
300,restau,Food and Beverages,0.97
301,secret,General Merchandise,0.98
302,wholesale,General Merchandise,0.93
303,q3,Food and Beverages,0.94
304,qdoba,Food and Beverages,1.0
305,tire,Automotive,0.91
306,victorias,General Merchandise,0.97
307,moes,Food and Beverages,0.91
308,chopper,Groceries,0.98
309,coinmach,General Merchandise,1.0
310,shellshell,Automotive,1.0
311,bestbuycom,General Merchandise,1.0
312,restaura,Food and Beverages,0.97
313,petroleum,Automotive,0.96
314,shoe,General Merchandise,0.91
315,spinx,Automotive,0.94
316,aliexpress,General Merchandise,1.0
